Gross Domestic Product;;;;;;;8.30.17;
Percent change from preceding period;;;;;;;;
;;;;;;;;
Annual;;;;Quarterly;;;;
;;;;          (Seasonally adjusted annual rates);;;;
;;;;;;;;
;GDP percent change based on current dollars;GDP percent change based on chained 2009 dollars;;;GDP percent change based on current dollars;GDP percent change based on chained 2009 dollars;;
;;;;;;;;
;;;;;;;;
;;;;1994q3;4.6;2.4;;
;;;;1994q4;6.9;4.6;;
;;;;1995q1;3.7;1.4;;
;;;;1995q2;3.2;1.4;;
;;;;1995q3;5.5;3.5;;
;;;;1995q4;4.9;2.9;;
;;;;1996q1;4.9;2.7;;
;;;;1996q2;8.8;7.2;;
;;;;1996q3;4.9;3.7;;
;;;;1996q4;6.4;4.3;;
;;;;1997q1;5.7;3.1;;
;;;;1997q2;7.3;6.2;;
;;;;1997q3;6.7;5.2;;
;;;;1997q4;4.5;3.1;;
;;;;1998q1;4.7;4.0;;
;;;;1998q2;4.8;3.9;;
;;;;1998q3;6.9;5.3;;
;;;;1998q4;8.1;6.7;;
;;;;1999q1;5.3;3.2;;
;;;;1999q2;4.7;3.3;;
;;;;1999q3;6.7;5.1;;
;;;;1999q4;9.1;7.1;;
;;;;2000q1;4.3;1.2;;
;;;;2000q2;10.2;7.8;;
;;;;2000q3;3.1;0.5;;
;;;;2000q4;4.5;2.3;;
;;;;2001q1;1.4;-1.1;;
;;;;2001q2;5.1;2.1;;
;;;;2001q3;0.0;-1.3;;
;;;;2001q4;2.3;1.1;;
;;;;2002q1;5.1;3.7;;
;;;;2002q2;3.8;2.2;;
;;;;2002q3;3.8;2.0;;
;;;;2002q4;2.4;0.3;;
;;;;2003q1;4.6;2.1;;
;;;;2003q2;5.1;3.8;;
;;;;2003q3;9.3;6.9;;
;;;;2003q4;6.8;4.8;;
;;;;2004q1;5.9;2.3;;
;;;;2004q2;6.6;3.0;;
;;;;2004q3;6.3;3.7;;
;;;;2004q4;6.4;3.5;;
;;;;2005q1;8.3;4.3;;
;;;;2005q2;5.1;2.1;;
;;;;2005q3;7.3;3.4;;
;;;;2005q4;5.4;2.3;;
;;;;2006q1;8.2;4.9;;
;;;;2006q2;4.5;1.2;;
;;;;2006q3;3.2;0.4;;
;;;;2006q4;4.6;3.2;;
;;;;2007q1;4.8;0.2;;
;;;;2007q2;5.4;3.1;;
;;;;2007q3;4.2;2.7;;
;;;;2007q4;3.2;1.4;;
;;;;2008q1;-0.5;-2.7;;
;;;;2008q2;4.0;2.0;;
;;;;2008q3;0.8;-1.9;;
;;;;2008q4;-7.7;-8.2;;
;;;;2009q1;-4.5;-5.4;;
;;;;2009q2;-1.2;-0.5;;
;;;;2009q3;1.2;1.3;;
;;;;2009q4;5.2;3.9;;
;;;;2010q1;3.2;1.7;;
;;;;2010q2;5.8;3.9;;
;;;;2010q3;4.6;2.7;;
;;;;2010q4;4.7;2.5;;
;;;;2011q1;0.2;-1.5;;
;;;;2011q2;6.0;2.9;;
;;;;2011q3;3.3;0.8;;
;;;;2011q4;5.2;4.6;;
;;;;2012q1;4.9;2.7;;
;;;;2012q2;3.8;1.9;;
;;;;2012q3;2.7;0.5;;
;;;;2012q4;1.7;0.1;;
;;;;2013q1;4.4;2.8;;
;;;;2013q2;1.6;0.8;;
;;;;2013q3;5.1;3.1;;
;;;;2013q4;6.1;4.0;;
;;;;2014q1;0.7;-0.9;;
;;;;2014q2;7.0;4.6;;
;;;;2014q3;7.1;5.2;;
;;;;2014q4;2.6;2.0;;
;;;;2015q1;3.2;3.2;;
;;;;2015q2;5.0;2.7;;
;;;;2015q3;3.0;1.6;;
;;;;2015q4;1.3;0.5;;
;;;;2016q1;0.8;0.6;;
;;;;2016q2;4.7;2.2;;
;;;;2016q3;4.2;2.8;;
;;;;2016q4;3.8;1.8;;
;;;;2017q1;3.3;1.2;;
;;;;2017q2;4.0;3.0;;
